--bus section
bus id,v(p.u.),theta(deg),bcs(MVAR at v=1p.u)
1,1.0271870054,14.6708030198,0.0000000000
2,1.0123035190,-6.8251893617,0.0000000000
3,1.0205167510,-6.8642326888,0.0000000000
4,1.0541611247,-12.1562959350,0.0000000000
5,1.0582670516,-11.4101679475,0.0000000000
6,1.0564283730,-12.1028355773,0.0000000000
7,1.0710132075,-2.0470576644,0.0000000000
8,1.0683951773,-1.4185905872,0.0000000000
9,1.0800424358,-3.6436428395,0.0000000000
10,1.0815947135,22.7401413150,0.0000000000
11,1.0761094484,22.0676889979,0.0000000000
12,1.0826774387,22.8338017032,0.0000000000
13,1.0509838859,-12.9099731387,0.0000000000
14,1.0519969931,-13.4262041665,0.0000000000
15,1.0629930056,-11.2177773025,0.0000000000
16,1.0603631689,-7.4073913531,0.0000000000
17,1.0386963331,-14.1954000786,0.0000000000
18,1.0641819245,-4.8679037142,0.0000000000
19,1.0624087441,-6.6505057010,0.0000000000
20,1.0789489357,29.7249628144,0.0000000000
21,1.0832536383,29.5069594772,0.0000000000
22,1.0793223860,29.7301527995,0.0000000000
23,1.0804846081,28.8766363215,0.0000000000
24,1.0509179826,-12.4180271085,0.0000000000
25,1.0282533013,6.4279997022,0.0000000000
26,1.0531025505,4.3058526981,0.0000000000
27,1.0276926109,6.3741620018,0.0000000000
28,1.0423965668,2.0000105716,0.0000000000
29,1.0425411358,2.0043752935,0.0000000000
30,1.0452732534,2.6262201100,0.0000000000
31,1.0760878400,30.2853694996,0.0000000000
32,1.0114391453,-6.7048495649,0.0000000000
33,1.0087646643,-6.3046200542,0.0000000000
34,1.0196685847,-4.7643827522,0.0000000000
35,1.0374634380,-7.3684603337,0.0000000000
36,1.0121075821,-6.9009091473,0.0000000000
37,1.0274634207,-8.4372584992,0.0000000000
38,1.0261294923,-6.9957757871,0.0000000000
39,1.0305427483,-5.9466834105,0.0000000000
40,1.0421700107,-8.2784349224,0.0000000000
41,1.0043871761,-3.7840170918,0.0000000000
42,1.0659989673,-7.1727196856,0.0000000000
43,1.0089538750,-3.5207695158,0.0000000000
44,1.0516371760,-8.1507717201,0.0000000000
45,1.0253155944,-7.3673121677,0.0000000000
46,1.0397598918,-6.8823729642,0.0000000000
47,1.0340155006,-8.6915830005,0.0000000000
48,1.0508169011,-5.8859226534,0.0000000000
49,1.0330266341,-8.1813505069,0.0000000000
50,1.0409410787,-6.8279124893,0.0000000000
51,1.0527036584,-5.5592436325,0.0000000000
52,1.0309585510,-1.5118223622,0.0000000000
53,1.0238574058,-5.4710411252,0.0000000000
54,1.0334868081,-1.0934581764,0.0000000000
55,1.0572761069,-13.2208128252,0.0000000000
56,1.0411462604,-13.9138665205,0.0000000000
57,1.0803067245,-0.1781841012,0.0000000000
58,1.0700232595,21.8651686724,0.0000000000
59,1.0805065803,22.6015780778,27.7908638691
60,1.0604801856,13.2889305736,0.0000000000
61,1.0650506454,-11.2234023499,0.0000000000
62,1.0679574234,10.2535676420,0.0000000000
63,1.0951186210,1.8295570276,41.1868626387
64,1.0980303696,5.9935013182,0.0000000000
65,1.0588654633,-13.5889398190,0.0000000000
66,1.0935154306,-0.6868992038,30.8930502253
67,1.0660717016,29.6907959932,0.0000000000
68,1.0772885540,8.1192129423,0.0000000000
69,1.0294654975,4.2190921203,0.0000000000
70,1.0737179942,-3.4013369994,0.0000000000
71,1.0535781118,-12.8913883543,0.0000000000
72,1.0569970432,-13.4283962238,0.0000000000
73,1.0522875960,-12.6475176069,0.0000000000
74,1.0573920767,-9.4057850338,0.0000000000
75,1.0598021441,-0.6939182744,0.0000000000
76,1.0760314638,24.8940877675,0.0000000000
77,1.0708193448,27.8722181459,0.0000000000
78,1.0739431024,28.2509270030,0.0000000000
79,1.0745111160,28.4016735200,0.0000000000
80,1.0692411945,5.9309807270,0.0000000000
81,1.0678852388,-6.1175964484,0.0000000000
82,1.0506685210,-8.1110138504,0.0000000000
83,1.0661251223,-6.5483972225,0.0000000000
84,1.0674320629,-6.9294490896,0.0000000000
85,1.0592693204,1.2409106421,0.0000000000
86,1.0645879517,25.1494210630,0.0000000000
87,1.0671993143,26.2250136839,0.0000000000
88,1.0614287717,23.5444006422,0.0000000000
89,1.0560036485,23.5705337506,0.0000000000
90,1.0741277769,28.4693466833,0.0000000000
91,1.0696830669,26.4352609469,0.0000000000
92,1.0737980868,28.4284289681,0.0000000000
93,1.0804625000,-11.0738028225,0.0000000000
94,1.0708001550,27.6372672961,0.0000000000
95,1.0680611826,21.5072685184,0.0000000000
96,1.0666485044,-8.2732290763,0.0000000000
97,1.0694556890,25.7108836066,0.0000000000
98,1.0858958148,24.3334782236,0.0000000000
99,1.0688765743,25.6682881940,0.0000000000
100,1.0674884907,21.7645534537,0.0000000000
101,1.0693583287,22.1478752936,0.0000000000
102,1.0365613987,2.0003164368,0.0000000000
103,1.0465501803,0.7962775417,0.0000000000
104,1.0825071386,-2.4516626730,0.0000000000
105,1.0689733139,21.6057755750,0.0000000000
106,1.0516877876,31.2000980289,0.0000000000
107,1.0799794151,29.1155241215,0.0000000000
108,1.0530722063,31.3942177295,0.0000000000
109,1.0629527267,-8.1582721347,0.0001739472
110,1.0429603764,-7.6886204257,0.0000000000
111,1.0334328132,-9.1145530307,0.0000000000
112,1.0373309019,-7.6663327335,0.0000000000
113,1.0414228461,-7.2654824751,0.0000000000
114,1.0364118065,-8.3760512279,0.0000000000
115,1.0678236832,27.0234736477,0.0000000000
116,1.0735500220,25.4679352689,22.8433408610
117,1.0529937725,0.6362439502,0.0000000000
118,1.0584846497,-13.4466869101,0.0000000000
119,1.0551450832,-7.5157823270,0.0000000000
120,1.0861695036,-10.2414642596,0.0000000000
121,1.0560781987,-7.4217808006,0.0000000000
122,1.0694342433,-11.7042291528,0.0000000000
123,1.0583554123,-11.9321879692,0.0000000000
124,1.0632978920,-11.1585158824,0.0000000000
125,1.0536521713,-12.2989782401,0.0000000000
126,1.0646588167,21.5202609207,0.0000000000
127,1.0849375523,-4.3420807465,0.0000000000
128,1.0654438668,13.4457359141,0.0000000000
129,1.0636584634,15.3055868184,0.0000000000
130,1.0744539293,28.7698498441,0.0000000000
131,1.0700187363,25.8108584623,0.0000000000
132,1.0999994910,-10.8366599552,88.3679762625
133,1.0776309645,-9.4606740828,0.0000000000
134,1.0673680428,-7.7322191201,0.0000000000
135,1.0446522365,-5.1818829471,-2.0669455116
136,1.0787757350,-6.4361568142,0.0000000000
137,1.0445194057,-5.1998663903,0.0000000000
138,1.0653517346,-13.8264955007,28.8497718897
139,1.0642415061,-7.2827704729,0.0000000000
140,1.0500686863,-8.8373293786,0.0000000000
141,1.0592244103,-7.8595319131,0.0000000000
142,1.0710488858,10.9980154097,0.0000000000
143,1.0562630011,24.2364928511,0.0000000000
144,1.0490217400,-12.3633404031,0.0000000000
145,1.0120684895,-7.3249747492,0.0000000000
146,1.0549578175,-10.0471314357,0.0000000000
147,1.0520762920,-11.3808797945,0.0000000000
148,1.0550777176,-9.5219089908,0.0000000000
149,1.0501137616,-10.1273424893,0.0000000000
150,1.0709938604,-8.5452383994,0.0000000000
151,1.0637642223,-5.5772128653,0.0000000000
152,1.0799999978,-7.6324492310,0.0000000000
153,1.0631737752,-5.6455947763,0.0000000000
154,1.0658316811,-8.6838999480,0.0000000000
155,1.0661758776,-8.9711791574,0.0000000000
156,1.0719974464,-14.8217250665,57.8911605896
157,1.0535332977,-10.1164551202,0.0000000000
158,1.0641137615,-9.8912459814,0.0000000000
159,1.0771812071,6.5186695365,0.0000000000
160,1.0693120462,-9.1178985639,0.0000000000
161,1.0621453302,0.4099108984,0.0000000000
162,1.0523512818,-9.8964352255,0.0000000000
163,1.0726999684,3.1205415208,0.0000000000
164,1.0693308917,11.6571339568,0.0000000000
165,1.0585828951,-8.0211216212,0.0000000000
166,1.0582509772,-8.1128438020,0.0000000000
167,1.0812345310,2.9111746002,0.0000000000
168,1.0829852075,-2.4316469451,21.6310618612
169,1.0545734385,21.4834974957,0.0000000000
170,1.0704949956,28.0622070355,0.0000000000
171,1.0733862303,28.0927543086,0.0000000000
172,1.0516935344,24.9611462228,0.0000000000
173,1.0531748649,24.2717293855,0.0000000000
174,1.0693315538,27.9129316053,0.0000000000
175,1.0764923321,28.2651617906,0.0000000000
176,1.0700148187,24.1907580932,52.6232992962
177,1.0573292223,24.0036285752,0.0000000000
178,1.0556071074,25.1814912410,0.0000000000
179,1.0752103302,27.6421877821,0.0000000000
180,1.0912221016,0.1892407118,0.0000000000
181,1.0897475401,-1.0204729614,19.9218748334
182,1.0759061791,7.2867308704,0.0000000000
183,1.0599268578,4.6154042528,0.0000000000
184,1.0606247919,7.1815053499,0.0000000000
185,1.0708465483,6.9177970322,0.0000000000
186,1.0627018028,7.4580327708,0.0000000000
187,1.0590347471,6.8713932485,0.0000000000
188,1.0597448719,5.8194439181,0.0000000000
189,1.0543954457,4.5287381201,0.0000000000
190,1.0392393400,11.4589229891,0.0000000000
191,1.0721208156,8.5795601168,0.0000000000
192,1.0387028581,11.3975838265,0.0000000000
193,1.0535277455,4.2529887158,0.0000000000
194,1.0385965313,-11.9489283382,0.0000000000
195,1.0676080342,-8.6564974774,0.0000000000
196,1.0414931988,-8.3125128008,0.0000000000
197,1.0585983383,-9.4432641863,0.0000000000
198,1.0527163331,-9.4832559272,0.0000000000
199,1.0770919731,-4.2087820292,26.1195326900
200,1.0710317962,-6.2799929918,22.3820723185
201,1.0357745779,-14.0236179128,0.0000000000
202,1.0363743815,-14.4618568202,0.0000000000
203,1.0369176252,0.0314676619,21.1419921477
204,1.0490770038,1.9113588167,0.0000000000
205,1.0796438666,21.7407231960,34.8400990142
206,1.0744740487,26.8010760123,0.0000000000
207,1.0641159003,-9.0627651265,0.0000000000
208,1.0537602969,-11.3318523165,0.0000000000
209,1.0591392783,-11.5245658967,0.0000000000
210,1.0494580957,21.1074064199,0.0000000000
211,1.0478598654,17.4886350525,0.0000000000
212,1.0486836393,-2.7280477970,0.0000000000
213,1.0278309908,-8.1411961168,0.0000000000
214,1.0441457059,-8.1809415318,55.8551343997
215,1.0575455118,-10.4345204121,0.0000000000
216,1.0374091872,-10.7735911790,0.0000000000
217,1.0529873924,1.2366555235,0.0000000000
218,1.0486192031,0.0588829535,0.0215521182
219,1.0508170545,-0.1503913299,18.0530300992
220,1.0496171844,1.7449058755,0.0000000000
221,1.0607940369,-14.1447014344,0.0000000000
222,1.0510715599,-9.8617359058,0.0000000000
223,1.0704855339,6.1145579213,0.0000000000
224,1.0753591965,7.3610861675,0.0000000000
225,1.0504802870,-9.2582917159,0.0000000000
226,1.0999986381,-4.4499440914,49.8751983598
227,1.0467843215,-4.3474416770,0.0000000000
228,1.0697714416,28.0079361596,0.0000000000
229,1.0697061834,-5.8748858105,0.0000000000
230,1.0396545549,-9.8674042601,0.0000000000
231,1.0697638584,31.5287778917,0.0000000000
232,1.0827225895,29.3263188921,0.0000000000
233,1.0695738425,31.4988123376,0.0000000000
234,1.0759090759,28.1633375549,0.0000000000
235,1.0710415809,-12.4418171065,28.1382329242
236,1.0564877313,-12.4272364766,0.0000000000
237,1.0748744224,5.1710743113,0.0000000000
238,1.0750479653,7.0290880073,0.0000000000
239,1.0536843168,25.9053147298,0.0000000000
240,1.0649733121,22.1074216334,5.3829892285
241,1.0721571190,-7.6896388760,0.0000000000
242,1.0528376298,-6.6496306688,0.0000000000
243,1.0554219205,-9.5623929786,0.0000000000
244,1.0645283643,25.9652143007,0.0000000000
245,1.0999995613,8.8462716479,25.1115996113
246,1.0384418110,-10.2112165136,0.0000000000
247,1.0571481244,-8.1663857253,0.0000000000
248,1.0771030197,10.5499221674,57.3979959172
249,1.0688795470,8.8234901195,0.0000000000
250,1.0668762387,8.3131226196,0.0000000000
251,1.0435054059,-11.8599423542,0.0000000000
252,1.0270608275,-0.2241379165,0.0000000000
253,1.0799999904,-1.9624782746,0.0000000000
254,1.0262586232,-0.2777947439,0.0000000000
255,1.0790682674,-1.9957480070,38.0834375561
256,1.0760784209,-4.0963538863,0.0000000000
257,1.0703745828,-2.7394169462,-16.4446563485
258,1.0715782324,-2.5916731601,-36.1461315662
259,1.0728478679,-2.6690767617,15.3006292801
260,1.0415927458,-7.8281512588,0.0000000000
261,1.0350749868,-9.5553085317,0.0000000000
262,1.0412599457,3.1316951900,0.0000000000
263,1.0353550016,3.0171410677,0.0000000000
264,1.0771872786,6.3221865378,0.0000000000
265,1.0673061844,-11.7567117411,0.0000000000
266,1.0598692869,-8.3744721328,0.0000000000
267,1.0550362875,-12.6168573148,0.0000000000
268,1.0369778742,0.5775084593,0.0000000000
269,1.0696154538,-7.7682579496,0.0000000000
270,1.0580957597,-9.2908759230,0.0000000000
271,1.0649891485,3.6438566785,0.0000000000
272,1.0710508743,-2.7263464024,0.0000000000
273,1.0954024785,34.3229792034,0.0000000000
274,1.0904969133,30.7175483430,0.0000000000
275,1.0666181170,40.7592588951,0.0000000000
276,1.0618981365,39.8497073090,0.0000000000
277,1.0812425907,6.5758328962,0.0000000000
278,1.0807826467,30.3321535488,0.0000000000
279,1.0771195586,28.9132093856,0.0000000000
280,1.0900409823,32.4684824777,0.0000000000
281,1.0904257944,31.6395011889,0.0000000000
282,1.0751104827,8.8958967566,0.0000000000
283,1.0850426783,8.0662197650,0.0000000000
284,1.0734975489,9.5789333705,0.0000000000
285,1.0737628557,9.7513239528,0.0000000000
286,1.0726563111,9.8681477659,0.0000000000
287,1.0735729201,9.9488907280,0.0000000000
288,1.0731519833,9.7603209097,0.0000000000
289,1.0735294745,9.2382422431,0.0000000000
290,1.0747386630,8.8146256160,0.0000000000
291,1.0422744275,-1.9073384306,0.0000000000
292,1.0805573065,-356.2204385951,0.0000000000
293,1.0418456177,-1.9486289999,0.0000000000
294,1.0860104456,31.0857306124,0.0000000000
295,1.0731847172,32.5704922061,0.0000000000
296,1.0861021860,31.5877702470,0.0000000000
297,1.0953372219,33.5500168382,0.0000000000
298,1.0954803000,35.8073242715,0.0000000000
299,1.0953597929,34.3328185183,0.0000000000
300,1.0958116361,34.9444268532,0.0000000000
301,1.0954703550,34.8397355206,0.0000000000
302,1.0957139454,34.4020162388,0.0000000000
303,1.0784387118,-4.0564854201,0.0000000000
304,1.0699442857,-5.4659763107,0.0000000000
305,1.0787257356,-3.9777890579,0.0000000000
306,1.0659502622,-11.1809595882,0.0000000000
307,1.0999987930,6.2651249825,0.0000000000
308,1.0997302771,6.2242014843,0.0000000000
309,1.0813947279,-2.0547623119,0.0000000000
310,1.0670749095,-3.3741377731,0.0000000000
311,1.0341225074,0.0000000000,0.0000000000
312,1.0335871300,-0.1607732323,0.0000000000
313,1.0357874415,1.4702503043,0.0000000000
314,1.0319985823,4.8728788665,0.0000000000
315,1.0533536129,2.1962529358,0.0000000000
316,1.0276134201,7.6490292755,0.0000000000
317,1.0228377143,5.4599009957,0.0000000000
318,1.0253282359,5.3946994996,0.0000000000
319,1.0250528033,5.8140494900,0.0000000000
320,1.0236863987,7.0587519815,0.0000000000
321,1.0244010764,6.0737267056,0.0000000000
322,1.0414804945,5.8529613989,0.0000000000
323,1.0851343979,6.9296243969,0.0000000000
324,1.0387371303,8.3995921689,0.0000000000
325,1.0395580106,8.4756280208,0.0000000000
326,1.0396476102,9.1938972932,0.0000000000
327,1.0394069733,8.9334638433,0.0000000000
328,1.0383492039,8.2936104181,0.0000000000
329,1.0384319175,8.5631963094,0.0000000000
330,1.0609498806,-11.1559237031,0.0000000000
331,1.0610541353,-11.1431724354,0.0000000000
332,1.0719909604,-8.2792191114,0.0000000000
333,1.0663330906,-10.5244832159,0.0000000000
334,1.0999915028,-7.5675839570,0.0000000000
335,1.0952284531,-7.8179207517,0.0000000000
336,1.0770815114,9.5865200238,0.0000000000
337,1.0827167530,9.4672453887,0.0000000000
338,1.0856923522,12.3228220956,0.0000000000
339,1.0884058650,12.0505275811,0.0000000000
